"AphiaID","phylum","class","order","family","genus","species","remove","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
159377,"Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","osprey, balbuzard pêcheur","birds"
212600,"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","little stint, bécasseau minute","birds"
212611,"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius alexandrinus",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","Kentish plover, gravelot à collier interrompu","birds"
212619,"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius hiaticula",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","common ringed plover, grand gravelot","birds"
212718,"Chordata","Aves","Charadriiformes","Dromadidae","Dromas","Dromas ardeola",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","crab-plover, drome ardéole","birds"
567825,"Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","Caspian tern","birds"
212625,"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus hemprichii",FALSE,2,,,1820,,TRUE,FALSE,FALSE,"LC","LC","Hemprich's gull, goéland de Hemprich","birds"
159115,"Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","Egretta garzetta",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","little egret, aigrette garzette","birds"
137179,"Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","great cormorant, grand cormoran","birds"
209051,"Arthropoda","Malacostraca","Decapoda","Xanthidae","Actaeodes","Actaeodes hirsutissimus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
1398833,"Arthropoda","Malacostraca","Decapoda","Callianassidae","Aqaballianassa","Aqaballianassa aqabaensis",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
366169,"Arthropoda","Malacostraca","Decapoda","Paguridae","Catapaguroides","Catapaguroides pectinipes",FALSE,2,,,,,TRUE,TRUE,FALSE,,,,"crustaceans"
209138,"Arthropoda","Malacostraca","Decapoda","Xanthidae","Chlorodiella","Chlorodiella cytherea",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
209136,"Arthropoda","Malacostraca","Decapoda","Xanthidae","Chlorodiella","Chlorodiella nigra",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
955192,"Arthropoda","Malacostraca","Decapoda","Ocypodidae","Cranuca","Cranuca inversa",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
514293,"Arthropoda","Malacostraca","Decapoda","Disciadidae","Discias","Discias musicus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
207600,"Arthropoda","Malacostraca","Decapoda","Dotillidae","Dotilla","Dotilla sulcata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
209145,"Arthropoda","Malacostraca","Decapoda","Xanthidae","Liocarpilodes","Liocarpilodes armiger",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
881757,"Arthropoda","Malacostraca","Decapoda","Xanthidae","Luniella","Luniella spinipes",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
209419,"Arthropoda","Malacostraca","Decapoda","Macrophthalmidae","Macrophthalmus","Macrophthalmus (Mareotis) depressus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
208908,"Arthropoda","Malacostraca","Decapoda","Epialtidae","Menaethius","Menaethius monoceros",FALSE,10,,,,,TRUE,FALSE,FALSE,,,,"crustaceans"
207536,"Arthropoda","Malacostraca","Decapoda","Grapsidae","Metopograpsus","Metopograpsus messor",FALSE,1,,,,,TRUE,TRUE,FALSE,,,"alamihi","crustaceans"
107351,"Arthropoda","Malacostraca","Decapoda","Majidae","Micippa","Micippa thalia",FALSE,1,,,,,TRUE,FALSE,FALSE,,,,"crustaceans"
1398891,"Arthropoda","Malacostraca","Decapoda","Callichiridae","Mucrollichirus","Mucrollichirus mucronatus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
207539,"Arthropoda","Malacostraca","Decapoda","Grapsidae","Pachygrapsus","Pachygrapsus minutus",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
210358,"Arthropoda","Malacostraca","Decapoda","Palinuridae","Panulirus","Panulirus penicillatus",FALSE,,,,,,FALSE,TRUE,FALSE,"LC","LC","pronghorn spiny lobster, grosses têtes","crustaceans"
377710,"Arthropoda","Malacostraca","Decapoda","Penaeidae","Parapenaeus","Parapenaeus fissuroides",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
377711,"Arthropoda","Malacostraca","Decapoda","Penaeidae","Parapenaeus","Parapenaeus fissuroides",FALSE,1,,,,,TRUE,FALSE,FALSE,,,,"crustaceans"
514239,"Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Pasiphaea","Pasiphaea marisrubri",FALSE,6,,,,,TRUE,TRUE,FALSE,,,,"crustaceans"
220292,"Arthropoda","Malacostraca","Decapoda","Solenoceridae","Pleoticus","Pleoticus steindachneri",FALSE,1,,,,,TRUE,TRUE,FALSE,,,,"crustaceans"
241302,"Arthropoda","Malacostraca","Decapoda","Pandalidae","Plesionika","Plesionika adensameri",FALSE,1,,,,,TRUE,TRUE,FALSE,,,,"crustaceans"
107662,"Arthropoda","Malacostraca","Decapoda","Pandalidae","Plesionika","Plesionika narval",FALSE,3,,,,,TRUE,TRUE,FALSE,,,"narval","crustaceans"
241305,"Arthropoda","Malacostraca","Decapoda","Pandalidae","Plesionika","Plesionika persica",FALSE,1,,,,,TRUE,TRUE,FALSE,,,,"crustaceans"
515659,"Arthropoda","Malacostraca","Decapoda","Crangonidae","Pontocaris","Pontocaris profundior",FALSE,2,,,,,TRUE,TRUE,FALSE,,,,"crustaceans"
107407,"Arthropoda","Malacostraca","Decapoda","Portunidae","Thalamita","Thalamita poissonii",FALSE,2,,,,,TRUE,TRUE,FALSE,,,,"crustaceans"
208846,"Arthropoda","Malacostraca","Decapoda","Portunidae","Thalamita","Thalamita prymna",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
208842,"Arthropoda","Malacostraca","Decapoda","Portunidae","Thalamita","Thalamita savignyi",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
477838,"Arthropoda","Malacostraca","Decapoda","Callianideidae","Thomassinia","Thomassinia gebioides",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
443875,"Arthropoda","Malacostraca","Decapoda","Trapeziidae","Trapezia","Trapezia bidentata",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
210176,"Arthropoda","Malacostraca","Decapoda","Trapeziidae","Trapezia","Trapezia cymodoce",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
210186,"Arthropoda","Malacostraca","Decapoda","Trapeziidae","Trapezia","Trapezia tigrina",FALSE,,,,,,FALSE,TRUE,FALSE,,,"red-spotted guard crab","crustaceans"
1607116,"Arthropoda","Malacostraca","Decapoda","Munididae","Trapezionida","Trapezionida babai",FALSE,1,,,,,TRUE,TRUE,FALSE,,,,"crustaceans"
1607131,"Arthropoda","Malacostraca","Decapoda","Munididae","Trapezionida","Trapezionida dispar",FALSE,3,,,,,TRUE,TRUE,FALSE,,,,"crustaceans"
1061734,"Arthropoda","Malacostraca","Decapoda","Portunidae","Xiphonectes","Xiphonectes tenuicaudatus",FALSE,1,,,,,TRUE,TRUE,FALSE,,,,"crustaceans"
256547,"Arthropoda","Malacostraca","Isopoda","Cirolanidae","Cirolana","Cirolana meseda",FALSE,1,,,,,TRUE,TRUE,FALSE,,,,"crustaceans"
394941,"Arthropoda","Malacostraca","Stomatopoda","Gonodactylidae","Gonodactylaceus","Gonodactylaceus falcatus",FALSE,,,,,,FALSE,TRUE,FALSE,,,"Philippine mantis shrimp","crustaceans"
220684,"Arthropoda","Malacostraca","Stomatopoda","Nannosquillidae","Pullosquilla","Pullosquilla thomassini",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"crustaceans"
111066,"Bryozoa","Gymnolaemata","Cheilostomatida","Aeteidae","Aetea","Aetea sica",FALSE,1,,,,,TRUE,FALSE,FALSE,,,,"filter-feeders"
111513,"Bryozoa","Gymnolaemata","Cheilostomatida","Lacernidae","Arthropoma","Arthropoma cecilii",FALSE,1,,,1980,,TRUE,FALSE,FALSE,,,,"filter-feeders"
111072,"Bryozoa","Gymnolaemata","Cheilostomatida","Beaniidae","Beania","Beania mirabilis",FALSE,2,,,1977,,TRUE,TRUE,FALSE,,,,"filter-feeders"
471732,"Bryozoa","Gymnolaemata","Cheilostomatida","Escharinidae","Bryopesanser","Bryopesanser pesanseris",FALSE,7,,,1980,,TRUE,TRUE,FALSE,,,,"filter-feeders"
220617,"Bryozoa","Gymnolaemata","Cheilostomatida","Celleporidae","Celleporaria","Celleporaria vermiformis",FALSE,1,,,1980,,TRUE,TRUE,FALSE,,,,"filter-feeders"
216028,"Bryozoa","Gymnolaemata","Cheilostomatida","Celleporidae","Celleporina","Celleporina costazii",FALSE,1,,,1980,,TRUE,TRUE,FALSE,,,,"filter-feeders"
469694,"Bryozoa","Gymnolaemata","Cheilostomatida","Cleidochasmatidae","Characodoma","Characodoma gilchristi",FALSE,2,,,1977,,TRUE,TRUE,FALSE,,,,"filter-feeders"
111304,"Bryozoa","Gymnolaemata","Cheilostomatida","Chorizoporidae","Chorizopora","Chorizopora brongniartii",FALSE,2,,,1980,,TRUE,TRUE,FALSE,,,,"filter-feeders"
111574,"Bryozoa","Gymnolaemata","Cheilostomatida","Colatooeciidae","Cigclisula","Cigclisula turrita",FALSE,,,,,,FALSE,TRUE,FALSE,,,,"filter-feeders"
